TROPICAL CYCLONE,YEAR,CATEGORY,DAMAGE(Billions USD)
KATRINA,2005,3,108.00
IKE,2008,2,29.52
ANDREW,1992,5,26.50
WILMA,2005,3,21.01
IVAN,2004,3,18.82
CHARLEY,2004,4,15.11
RITA,2005,3,12.04
FRANCES,2004,2,9.51
ALLISON,2001,0,9.00
JEANNE,2004,3,7.66
HUGO,1989,4,7.00
FLOYD,1999,2,6.90
ISABEL,2003,2,5.37
OPAL,1995,3,5.14
GUSTAV,2008,2,4.62
FRAN,1996,3,4.16
GEORGES,1998,2,2.77
DENNIS,2005,3,2.55
FREDERIC,1979,3,2.30
AGNES,1972,1,2.10
ALICIA,1983,3,2.00
BOB,1991,2,1.50
JUAN,1985,1,1.50
CAMILLE,1969,5,1.42
BETSY,1965,3,1.42
ELENA,1985,3,1.25
DOLLY,2008,1,1.05
CELIA,1970,3,0.93
LILI,2002,1,0.93
GLORIA,1985,3,0.90
